Îlot	Campagne	Numéro	Nom	Surface (Ha)	Contour	Variante	RU	?	?	Type de sol
9	2013	P14	Poteau EDF	4,5	POLYGON((405116.616 6531933.713,404917.562 6531907.302,404922.118 6531974.226,404932.415 6532015.116,404934.724 6532059.059,405126.619 6532065.377,405116.616 6531933.713))	flap_silt_land_parcel	100			100 %limon battant
10	2013	P15	Le silo	2,4	MULTIPOLYGON(((407157.054 6531843.003,407140.098 6531855.052,407039.233 6531726.992,407008.41 6531751.285,407109.37 6531876.366,407096.395 6531885.405,407157.874 6531942.82,407145.954 6531954.937,407187.23 6531990.537,407227.452 6532024.207,407280.551 6531923.838,407181.871 6531825.744,407157.054 6531843.003)))	clay_limestone_land_parcel	50			100 % Groies
11	2013	P16	Les Aiguilles	2,34	MULTIPOLYGON(((407216.531 6532046.443,407174.424 6532121.341,407221.455 6532143.183,407294.578 6532169.599,407409.181 6532211.891,407411.252 6532208.367,407443.998 6532152.651,407411.252 6532208.366,407410.926 6532208.165,407443.998 6532152.651,407458.941 6532127.225,407229.982 6532050.906,407216.531 6532046.443)))	clay_limestone_land_parcel	50			100 % Groies
13	2013	P17	Champ guillon (1)	1,88	MULTIPOLYGON(((407806.777 6532846.712,407856.265 6532817.443,407835.363 6532800.577,407834.315 6532799.546,407830.268 6532794.544,407791.905 6532749.988,407830.668 6532716.708,407884.216 6532672.306,407852.312 6532636.936,407789.119 6532688.826,407776.275 6532672.899,407698.957 6532736.793,407740.163 6532778.348,407712.575 6532819.549,407738.693 6532835.361,407761.832 6532851.087,407782.814 6532855.951,407792.783 6532856.898,407806.777 6532846.712)))	clay_limestone_land_parcel	50			100 % Groies
14	2013	P18	Bernessard	6	POLYGON((409536.091 6533925.561,409382.972 6533776.979,409321.338 6533812.514,409277.6 6533839.77,409252.785 6533856,409232.048 6533882.158,409207.195 6533908.35,409252.445 6533939.91,409279.72 6533972.658,409296.944 6534006.507,409314.293 6534042.313,409328.416 6534061.201,409351.621 6534084.929,409371.697 6534104.797,409383.904 6534127.707,409406.236 6534170.446,409463.008 6534156.012,409491.928 6534151.768,409456.611 6534102.151,409437.543 6534094.295,409411.204 6534051.469,409425.081 6534040.374,409449.951 6534016.241,409456.992 6534023.167,409485.766 6533999.92,409473.649 6533988.12,409523.161 6533926.696,409536.091 6533925.561))	silt_land_parcel	80			100 % Terre de limon
14	2013	P19	À côté de la vigne (1)	3,47	POLYGON((409382.972 6533776.979,409536.091 6533925.561,409565.307 6533957.373,409582.461 6533968.223,409606.173 6533942.96,409671.45 6533988.434,409740.744 6533909.912,409634.209 6533829.867,409614.428 6533847.085,409588.253 6533824.29,409576.357 6533839.385,409554.576 6533862.454,409543.513 6533853.612,409535.41 6533842.689,409551.202 6533828.831,409463.435 6533734.654,409412.84 6533762.775,409382.972 6533776.979))	silt_land_parcel	80			100 % Terre de limon
15	2013	P20	Châtaigniers	5,54	MULTIPOLYGON(((409259.361 6533570.234,409414.826 6533752.798,409471.45 6533720.28,409507.14 6533689.993,409526.956 6533664.202,409526.714 6533663.883,409526.668 6533663.914,409520.751 6533656.025,409306.746 6533373.995,409292.877 6533386.008,409272.044 6533399.228,409246.19 6533415.466,409203.494 6533457.711,409188.63 6533473.859,409269.358 6533560.081,409259.361 6533570.234)))	silt_land_parcel	80			100 % Terre de limon
16	2013	P21	Les avoinies	2,04	MULTIPOLYGON(((409151.399 6533516.706,409181.318 6533480.198,409225.246 6533432.292,409107.537 6533328.701,409084.596 6533335.864,409044.791 6533354.165,409027.988 6533370.219,408996.371 6533380.987,409151.399 6533516.706)))	silt_land_parcel	80			100 % Terre de limon
17	2013	P22	La bouchanière	5,65	MULTIPOLYGON(((409775.278 6533487.015,409828.031 6533457.627,409877.819 6533443.25,409947.754 6533442.676,409913.585 6533420.975,409940.352 6533391.801,409963.508 6533409.575,409973.379 6533398.503,409985.257 6533381.351,409792.112 6533224.055,409778.278 6533239.165,409728.916 6533194.7,409713.977 6533201.806,409696.145 6533217.869,409615.102 6533329.448,409775.278 6533487.015)))	red_chesnut_land_parcel	90			100 % Terre rouge à chataigniers
19	2013	P23	Champ guillon (2)	0,22	MULTIPOLYGON(((407931.068 6532662.88,407889.38 6532618.581,407862.231 6532643.762,407904.371 6532687.138,407931.068 6532662.88)))	clay_limestone_land_parcel	50			100 % Groies
20	2013	P24	À côté de la vigne (2)	0,42	MULTIPOLYGON(((409567.107 6533814.043,409596.569 6533805.218,409519.11 6533684.06,409496.544 6533710.113,409567.107 6533814.043)))	silt_land_parcel	80			100 % Terre de limon
21	2013	P25	Les pommiers	1,03	MULTIPOLYGON(((404936.568 6531622.817,404937.382 6531669.948,405037.462 6531676.577,405160.593 6531699.485,405197.543 6531697.244,405233.357 6531680.924,405129.47 6531657.002,405053.28 6531642.812,405012.88 6531634.65,404987.987 6531630.161,404960.645 6531625.672,404936.568 6531622.817)))	flap_silt_land_parcel	90			100 %limon battant
22	2013	P26	Le Philippot	1,38	MULTIPOLYGON(((403390.16 6532141.523,403398.29 6532080.594,403399.638 6532008.706,403394.641 6531998.786,403377.529 6531991.942,403325.361 6531968.331,403298.327 6531951.608,403271.657 6531927.519,403244.685 6531962.198,403390.16 6532141.523)))	flap_silt_land_parcel	90	MAET	IFT	100 %limon battant
23	2013	P27	Laurière	3,01	MULTIPOLYGON(((402937.038 6530815.005,403069.609 6530988.777,403149.186 6531090.691,403212.874 6531032.419,403024.897 6530787.096,402997.496 6530761.221,402937.038 6530815.005)))	flap_silt_land_parcel	90	MAET	IFT	100 %limon battant
24	2013	P28	Carrefour	3,76	MULTIPOLYGON(((402630.852 6530712.557,402515.608 6530614.012,402422.321 6530643.054,402337.742 6530673.11,402273.86 6530707.348,402379.875 6530815.345,402630.852 6530712.557)))	flap_silt_land_parcel	90	MAET	IFT	100 %limon battant
25	2013	P29	Les Abaupins	7,96	MULTIPOLYGON(((402258.715 6530717.26,402163.459 6530771.33,402110.584 6530821.789,402255.635 6531004.388,402376.1 6531106.714,402395.532 6531089.153,402426.016 6531093.253,402456.445 6531090.828,402478.079 6531076.513,402498.57 6531055.683,402517.939 6531030.511,402532.733 6530997.44,402530.275 6530994.956,402468.911 6530934.4,402375.546 6530838.616,402367.586 6530830.573,402367.649 6530830.51,402258.715 6530717.26)))	flap_silt_land_parcel	90	MAET	IFT	100 %limon battant
26	2013	P30	La Baudrière (1)	5,73	POLYGON((402516.767 6531417.675,402552.936 6531319.502,402470.682 6531235.351,402440.43 6531259.525,402367.366 6531235.112,402365.057 6531218.818,402258.024 6531163.146,402157.688 6531260.758,402329.415 6531381.15,402428.203 6531492.353,402516.767 6531417.675))	clay_limestone_land_parcel	90	MAET	IFT	100 % Groies
26	2013	P31	La Baudrière (2)	6	POLYGON((402552.936 6531319.502,402516.767 6531417.675,402624.567 6531566.867,402667.877 6531543.673,402667.591 6531508.876,402674.846 6531465.315,402700.598 6531422.691,402734.04 6531389.792,402767.626 6531374.29,402827.327 6531360.75,402692.145 6531187.858,402642.337 6531214.367,402552.936 6531319.502))	red_chesnut_land_parcel	90	MAET	IFT	100 % Groies
27	2013	P32	Ménard fille	4,69	MULTIPOLYGON(((410104.393 6533263.9,409976.199 6533105.232,409814.27 6533143.81,409820.298 6533186.058,409815.3 6533192.412,409844.525 6533214.899,409822.038 6533244.123,409992.383 6533384.768,410104.393 6533263.9)))	red_chesnut_land_parcel	60			100 % Groies
