Code nature de sol dans le fichier,Code soil_nature dans la nomenclature ouverte des types de sol(http://open-nomenclature.org/nomenclatures/soil_natures)
LIMON SABLEUX,silt_soil
ARGILO CALCAIRE MOYEN,clay_limestone_soil
ARGILO CALCAIRE PROFOND,clay_limestone_soil
ARGILO CALCAIRE SUPERFICIEL,clay_limestone_soil
