CODE_TIERS_EDI,CODE_ARTICLE,FAMILLE,SS_FAMILLE,LIBELLE,UNITE,NUM_CPT,
CHAMP_CERE,3007793,000,000,ANTACID PACK EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3008003,000,000,B BORDELAISE DISPERS NC ENGRAI,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3008033,000,000,LIQUACUIVRE 120 S-10L,LTR,6011000,Engrais et amendements
CHAMP_CERE,3008034,000,000,"HARMONY M-0,12KG",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008035,000,000,"HARMONY M EN 0,45KG",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008045,000,000,MAIS SEIDDI-50MG,EA,6012000,Semences
CHAMP_CERE,3008047,000,000,MAIS LG 3277 HDI-50MG,EA,6012000,Semences
CHAMP_CERE,3008113,000,000,IKAR-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008132,505,654,MISTRAL SAC 25 KG,EA,6014000,Aliments
CHAMP_CERE,3008173,000,000,RESONANCE-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008247,000,000,METRIPHAR 70 WG-1KG,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3008283,000,000,HELIOSOL-120L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008294,000,000,SPOTLIGHT PLUS-20L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008314,000,000,CHOPIN-10L,LTR,6011000,Engrais et amendements
CHAMP_CERE,3008345,000,000,ROUNDUP FLASH EN 5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008433,000,000,EPSO TOP-25KG,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3008494,000,000,ARMURE-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008495,000,000,ORTIVA-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008523,000,000,ATLANTIS WG-3KG,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3008534,000,000,SULFATE AMMO 21 GRANULAR 2 VRA,TNE,6011000,Engrais et amendements
CHAMP_CERE,3008643,000,000,BAROUD SC-1L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008644,000,000,BAROUD SC-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008645,000,000,GRIVOLAX-20L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008663,000,000,SUPREME-1KG,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3008750,303,221,RGA INDIANA EN 10 KG,EA,6012000,Semences
CHAMP_CERE,3008753,000,000,COLZA P L FANTASIO-1MG,NAR,6012000,Semences
CHAMP_CERE,3008793,000,000,HURRICANE-5L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3008823,000,000,TOURNESOL OL PR 64H41-150MG,EA,6012000,Semences
CHAMP_CERE,3008856,505,653,TOURTEAUX DE SOJA  SAC 25 KG,TNE,6014000,Aliments
CHAMP_CERE,3008863,000,000,SORGHO GRAIN CHASSE-5KG,KGM,6012000,Semences
CHAMP_CERE,3008873,000,000,"BASAGRAN SG-0,5KG",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008914,000,000,KIRALIS-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3008984,000,000,PIONEER 11G22 (FLACON 50 GR),NAR,6014000,Aliments
CHAMP_CERE,3009023,000,000,"NISSORUN-0,5KG",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009043,505,652,MINEOL STAR SEM EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3009074,000,000,X CHANGE-3L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009081,000,000,COLZA H L FORZA-MESUROL-2MIG,NAR,6012000,Semences
CHAMP_CERE,3009093,000,000,MINEOL TOP SEM. EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3009114,000,000,CHLORTOCIDE EL-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009116,000,000,MATIN EL-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009118,000,000,MELIOS ENERGIE 100-15KG,KGM,6012000,Semences
CHAMP_CERE,3009120,000,000,FET PR PREVAL-10KG,KGM,6012000,Semences
CHAMP_CERE,3009121,000,000,RGI ABYS 2N NON ALTER-10KG,KGM,6012000,Semences
CHAMP_CERE,3009122,000,000,TREFLE VIOLET CORVUS-5KG,KGM,6012000,Semences
CHAMP_CERE,3009143,505,652,MINEOL MAIS SEM EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3009144,505,652,MINEOL EQUILIBRE SEM EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3009153,505,652,MINEOL VITAL EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3009223,000,000,MINEOLAC SEM EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3009364,505,651,SOLVOR INSTANT MG + EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3009393,505,655,SUPER STARTER EN 10 KG,NAR,6014000,Aliments
CHAMP_CERE,3009446,000,000,FEDALAC 50 DI EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3009497,000,000,MINEOL STAR SEM. BB 1 T,TNE,6014000,Aliments
CHAMP_CERE,3009665,000,000,BOXER SC 500-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009666,000,000,EQUATION PRO-2KG,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3009683,000,000,MENHIR FL-5L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3009686,000,000,KART-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009696,000,000,DICAVEL 480-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009697,000,000,DICAVEL 480-1L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009700,000,000,"PICTOR PRO-2,5KG",KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3009703,505,655,BUFFLO TONIC AXION EN 22 KG,EA,6014000,Aliments
CHAMP_CERE,3009744,000,000,MODDUS-20L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009745,000,000,MODDUS-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009758,000,000,MAIS KONFIANS-50MG,EA,6012000,Semences
CHAMP_CERE,3009783,000,000,NAUTILE EN 10 KG,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3009824,000,000,FLEOLE PR CLIMAX-5KG,KGM,6012000,Semences
CHAMP_CERE,3009833,505,652,MINEOL LACTATION SEM EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3009834,000,000,FEDALAC 50 DIP F  EN 10KG,EA,6014000,Aliments
CHAMP_CERE,3009859,000,000,STARANE GOLD-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009915,000,000,TORNADO COMBI-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009963,000,000,"ATLANTIS WG-0,6KG",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009993,000,000,"TEPPEKI-0,5KG",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3009995,000,000,MAIS LG 3276 HDI-50MG,EA,6012000,Semences
CHAMP_CERE,3010123,000,000,CLORTOSINT-10L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3010124,000,000,BRAVO PREMIUM-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010135,000,000,FOLY R-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010145,000,000,FEDAGNAUBE ENGRAIS PIC  VRAC,TNE,6014000,Aliments
CHAMP_CERE,3010213,000,000,CHAUX VIVE PULVÉ SAC 25 KG,TNE,6011000,Engrais et amendements
CHAMP_CERE,3010234,000,000,MODDUS-1L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010283,505,500,PONDEUSE MIETTES EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3010313,000,000,POUSSIN CANETON  MIETTES EN 25,EA,6014000,Aliments
CHAMP_CERE,3010314,000,000,LAPETY COMPLET GR  EN 25 KG,EA,6014000,Aliments
CHAMP_CERE,3010315,000,000,PONDEUSE COMPLEMENTAIRE GRAIN,EA,6014000,Aliments
CHAMP_CERE,3010353,000,000,LACTIL TEMPO GR EN VRAC,TNE,6014000,Aliments
CHAMP_CERE,3010375,000,000,DAMIRIS-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010423,000,000,STIM PHOS-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010429,000,000,C5 FLEX-20L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3010440,000,000,CYTHRINE L-1L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010486,000,000,RGI PROMPT 2N ALTER-10KG,EA,6012000,Semences
CHAMP_CERE,3010499,000,000,MICROSTAR PZ-10KG,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3010500,000,000,CERESTIM-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010515,000,000,TREFLE BLANC MELANGE BOITE-3KG,KGM,6012000,Semences
CHAMP_CERE,3010524,000,000,HORSE MASTER-10KG,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3010526,000,000,TREFLE BLANC INTER BARBLANCA B,KGM,6012000,Semences
CHAMP_CERE,3010537,000,000,"ALLIAGE-0,6KG",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010574,000,000,FURY 10 EW-1L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010583,000,000,DECIS EXPERT-1L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010593,000,000,HORIZON ARBO-1KG,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3010615,000,000,DECIS PROTECH-15L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010705,000,000,MAIS ISBERI-50MG,EA,6012000,Semences
CHAMP_CERE,3010714,000,000,HUILE VAZYL Y-215L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3010718,000,000,RANFOR-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010744,000,000,MEXTRA-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010750,000,000,B BORDELAISE MACC 80 JARDINS-1,KGM,6013000,Produits de santé des végétaux
CHAMP_CERE,3010778,000,000,PISTOL EV-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010782,000,000,AUBAINE-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010786,000,000,GARLON 2000-2L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010789,000,000,KERB FLO-1L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3010795,000,000,PRIMUS-1L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3010891,000,000,SYGAN S-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3010929,000,000,HAIFA MAP 12 61 00-25KG,KGM,6011000,Engrais et amendements
CHAMP_CERE,3010960,000,000,HAIFA MKP 00 52 34 MKP-25KG,KGM,6011000,Engrais et amendements
CHAMP_CERE,3011012,000,000,B BORDELAISE RSR DISPERSS COL-,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3011034,000,000,TREFLE VIOLET JUSTIN-10KG,EA,6012000,Semences
CHAMP_CERE,3011050,000,000,TREFLE ALEXANDRIE AXI-25KG,KGM,6012000,Semences
CHAMP_CERE,3011051,000,000,MOHA-NT-25KG,KGM,6012000,Semences
CHAMP_CERE,3011099,000,000,ORYTIS-1L,LTR,6013000,Produits de santé des végétaux
