postal_code,city_name,city,code,country
17250,SAINT-PORCHAIRE,SAINT-PORCHAIRE,,fr
17250,LES ESSARDS,LES ESSARDS,,fr
17100,SAINTES,SAINTES,,fr
16100,COGNAC,COGNAC,,fr
17250,BEURLAY,BEURLAY,,fr
47290,CANCON,CANCON,,fr
17152,SAINTES,SAINTES,,fr
17350,BORDS,BORDS,,fr
17300,JONZAC,JONZAC,,fr
17700,SURGERES,SURGERES,,fr
75000,PARIS,PARIS,,fr
79000,NIORT,NIORT,,fr
87000,LIMOGES,LIMOGES,,fr
85036,La Roche-sur-Yon,La Roche-sur-Yon,,fr
