"name","centralizing B","debtor B","fr_pcg2019","fr_pcg82","fr_pcga","pt_snc","fr_pcg2023","fr_pcga2023","trad_fr_pcg2023","trad_fr_pcga2023",,,"fr_pcg2019-8"
"other_interests_expenses",,,6618,6618,6618,,,,,,4,"0000","66180000"
"other_various_interests_expenses",,,66188,66188,66188,,,,,,3,"000","66188000"
"participation_losses_on_debt_obligation_expenses",,,664,664,664,,,,,,5,"00000","66400000"
"discount_granted_expenses",,,665,665,665,,,,,,5,"00000","66500000"
"foreign_exchange_expenses",,,666,666,666,,,,,,5,"00000","66600000"
"short_term_investment_transfer_expenses",,,667,667,667,,,,,,5,"00000","66700000"
"other_financial_expenses",,,668,668,668,,,,,,5,"00000","66800000"
"exceptional_expenses",,,67,67,67,,,,,,6,"000000","67000000"
"management_operation_exceptional_expenses",,,671,671,671,,,,,,5,"00000","67100000"
"market_fine_exceptional_expenses",,,6711,6711,6711,,,,,,4,"0000","67110000"
"fiscal_fine_exceptional_expenses",,,6712,6712,6712,,,,,,4,"0000","67120000"
"donation_exceptional_expenses",,,6713,6713,6713,,,,,,4,"0000","67130000"
"previous_fiscal_year_expenses",,,672,672,672,,,,,,5,"00000","67200000"
"trust_creation_operation_expenses",,,674,674,674,,,,,,5,"00000","67400000"
"fixed_assets_values",,,675,675,675,,,,,,5,"00000","67500000"
"land_charges",,,6752,6752,6752,,,,,,4,"0000","67520000"
"depreciations_inputations_expenses",,,68,68,68,64000000,,,,,6,"000000","68000000"
"exploitation_depreciations_inputations_expenses",,,681,681,681,,,,,,5,"00000","68100000"
"corporeals_and_incorporeals_depreciations_inputations_expenses",,,6811,6811,6811,,,,,,4,"0000","68110000"
"incorporeals_depreciations_inputations_expenses",,,68111,68111,68111,,,,,,3,"000","68111000"
"corporeal_depreciations_inputations_expenses",,,68112,68112,68112,,,,,,3,"000","68112000"
"building_depreciations_inputations_expenses",,,68113,68113,68113,,,,,,3,"000","68113000"
"corporeal_depreciations_inputations_expenses_living_goods",,,68114,68114,68114,,,,,,3,"000","68114000"
"equipment_depreciations_inputations_expenses",,,68115,68115,68115,,,,,,3,"000","68115000"
"others_corporeals_depreciations_inputations_expenses",,,68118,68118,68118,,,,,,3,"000","68118000"
"assets_devalorisations_inputations_expenses",,,"NONE","NONE","NONE",,6816,6816,"Dotations pour dépréciations des immobilisations incorporelles et corporelles","Dotations pour dépréciations des immobilisations incorporelles et corporelles",,,
"assets_devalorisations_inputations_expenses_living_goods",,,"NONE","NONE","NONE",,"NONE",68164,"Dotations pour dépréciations (Biens vivants immobilisés)",,,,
"financial_depreciations_inputations_expenses",,,686,686,686,,,,,,5,"00000","68600000"
"exceptional_depreciations_inputations_expenses",,,687,687,687,,,,,,5,"00000","68700000"
"exceptional_depreciations_imputations_expenses_for_fixed_assets",,,6871,6871,6871,,,,,,4,"0000","68710000"
"employee_participation_and_income_taxes_and_assimilated_payments_expenses",,,69,69,69,,,,,,6,"000000","69000000"
"employee_participation_expenses",,,691,691,691,,,,,,5,"00000","69100000"
"income_taxes_expenses",,,695,695,695,,,,,,5,"00000","69500000"
"additionnal_taxes_on_distribution_entity_expenses",,,696,696,696,,,,,,5,"00000","69600000"
"flat_rate_taxes_expenses",,,697,697,697,,,,,,5,"00000","69700000"
"fiscal_integration_expenses",,,698,698,698,,,,,,5,"00000","69800000"
"previous_product_deferral_expenses",,,699,699,699,,,,,,5,"00000","69900000"
"revenues",,,7,7,7,70000000,,,,,7,"0000000","70000000"
"plant_derivatives_revenues",,,7011,701,701,,,,,,4,"0000","70110000"
"animal_derivatives_revenues",,,7012,702,702,,,,,,4,"0000","70120000"
"processing_products_revenues",,,7013,703,703,,,,,,4,"0000","70130000"
"adult_animal_revenues",,,7014,7041,7041,,,,,,4,"0000","70140000"
"other_animal_revenues",,,7014,7045,7045,,,,,,4,"0000","70140000"
"young_animal_revenues",,,7014,7042,7042,,,,,,4,"0000","70140000"
"animal_revenues",,,70140,704,704,,,,,,3,"000","70140000"
"culturals_ways_revenues",,,"NONE","NONE","NONE",,"NONE",7041,,"Travaux à façon",,,
"contract_integration_revenues",,,"NONE","NONE","NONE",,"NONE",7042,,"Produits sur contrat d’intégration",,,
"residual_products_revenues",,,705,705,705,,,,,,5,"00000","70500000"
"services_revenues",,,706,706,706,,,,,,5,"00000","70600000"
"merchandising_revenues",,,707,707,707,,,,,,5,"00000","70700000"
"product_accessory_revenues",,,708,708,708,,,,,,5,"00000","70800000"
"making_services_revenues",,,7084,7084,7084,,,,,,4,"0000","70840000"
"merchandising_accessory_revenues",,,7085,7085,7085,,,,,,4,"0000","70850000"
"fill_up_price_revenues",,,7087,7087,7087,,,,,,4,"0000","70870000"
"discount_and_reductions_revenues",,,709,709,709,,,,,,5,"00000","70900000"
"inventory_variations",,,71,71,71,,,,,,6,"000000","71000000"
"product_inventory_variations",,,713,713,713,,,,,,5,"00000","71300000"
"long_cycle_vegetals_inventory_variations",,,713311,7133,7133,,,,,,2,"00","71331100"
"short_cycle_product_inventory_variations",,,713312,7136,7136,,,,,,2,"00","71331200"
"short_cycle_vegetals_inventory_variations",,,713312,7134,7134,,,,,,2,"00","71331200"
"long_cycle_product_inventory_variations",,,7135,7135,7135,,,,,,4,"0000","71350000"
"products_inventory_variations",,,7135,7137,7137,,,,,,4,"0000","71350000"
"adult_reproductor_animals_inventory_variations",,,713551,7121,7121,,,,,,2,"00","71355100"
"long_cycle_animals_inventory_variations",,,713551,7131,7131,,,,,,2,"00","71355100"
"short_cycle_animals_inventory_variations",,,713552,7132,7132,,,,,,2,"00","71355200"
"young_reproductor_animals_inventory_variations",,,713552,7122,7122,,,,,,2,"00","71355200"
"short_cycle_vegetals_end_product_inventory_variations",,,"NONE","NONE","NONE",,"NONE",713554,,"Variations de stock de produits finis - Végétaux (cycle court)",,,
"long_cycle_vegetals_end_product_inventory_variations",,,"NONE","NONE","NONE",,"NONE",713553,,"Variations de stock de produits finis – Végétaux (cycle long)",,,
"capitalized_revenues",,,72,72,72,,,,,,6,"000000","72000000"
"incorporeal_asset_revenues",,,721,721,721,,,,,,5,"00000","72100000"
"corporeal_asset_revenues",,,722,722,722,,,,,,5,"00000","72200000"
"corporeal_asset_productions_revenues",,,"NONE","NONE","NONE",,"NONE",7121,,"Production immobilisée - Immobilisations corporelles (hors biens vivants)",,,
"corporeal_asset_animals_productions_revenues",,,"NONE","NONE","NONE",,"NONE",7122,,"Production immobilisée - Immobilisations corporelles (biens vivants)",,,
"corporeal_asset_revenues_of_livestock",,,724,,724,,,,,,5,"00000","72400000"
"home_consumption_production",,,73,726,726,,,,,,6,"000000","73000000"
"partial_net_product_on_long_term_operation_revenues",,,73,"NONE",73,,,,,,6,"000000","73000000"
"exploitation_subsidies_and_compensations",,,74,74,74,,,,,,6,"000000","74000000"
"subsidies",,,74,745,745,,,,,,6,"000000","74000000"
"vat_compensations_revenus",,,"NONE","NONE","NONE",,"NONE",741,,"Remboursement forfaitaire de TVA",,,
"insurance_compensations",,,742,,742,,,,,,5,"00000","74200000"
"animals_subsidies",,,743,7454,7454,,,,,,5,"00000","74300000"
"plants_subsidies",,,743,7451,7451,,,,,,5,"00000","74300000"
"exploitation_subsidies",,,744,7452,7452,,,,,,5,"00000","74400000"
"other_compensations",,,744,744,744,,,,,,5,"00000","74400000"
"revenues_subsidies",,,"NONE","NONE","NONE",,"NONE",745,,"Subventions au revenu",,,
"other_exploitation_subsidies",,,748,7458,7458,,,,,,5,"00000","74800000"
"other_day_to_day_management_revenues",,,75,75,75,,,,,,6,"000000","75000000"
"licenses_revenues",,,751,751,751,,,,,,5,"00000","75100000"
"discount_from_cooperatives",,,754,754,754,,,,,,5,"00000","75400000"
"revenue_subsidies",,,7543,7453,7453,,,,,,4,"0000","75430000"
"livestock_cession_revenues",,,"NONE","NONE","NONE",,"NONE",757,,"Produits de cessions des biens vivants immobilisés",,,
"other_usual_running_profits",,,758,758,758,,,,,,5,"00000","75800000"
"financials_revenues",,,76,76,76,,,,,,6,"000000","76000000"
"participation_financials_revenues",,,761,761,761,,,,,,5,"00000","76100000"
"other_financials_asset_revenues",,,762,762,762,,,,,,5,"00000","76200000"
"other_debt_obligation_financials_revenues",,,763,763,763,,,,,,5,"00000","76300000"
"short_term_investment_financials_revenues",,,764,764,764,,,,,,5,"00000","76400000"
"reductions",,,765,765,765,,,,,,5,"00000","76500000"
"foreign_exchange_financials_revenues",,,766,766,766,,,,,,5,"00000","76600000"
"short_term_investment_transfer_financials_revenues",,,767,767,767,,,,,,5,"00000","76700000"
"other_financials_revenues",,,768,768,768,,,,,,5,"00000","76800000"
"exceptional_revenues",,,77,77,77,,,,,,6,"000000","77000000"
"management_operation_exceptional_revenues",,,771,771,771,,,,,,5,"00000","77100000"
"previous_fiscal_year_exceptional_revenues",,,772,772,772,,,,,,5,"00000","77200000"
"sales_assets_revenues",,,775,775,775,,,,,,5,"00000","77500000"
"intangible_fixed_assets_revenues",,,7751,7751,7751,,,,,,4,"0000","77510000"
"tangible_fixed_assets_revenues_without_livestock",,,7752,7752,7752,,,,,,4,"0000","77520000"
"tangible_fixed_assets_revenues_livestock",,,7754,,7754,,,,,,4,"0000","77540000"
"share_asset_subsidies",,,777,777,777,,,,,,5,"00000","77700000"
"various_exceptional_revenues",,,778,778,778,,,,,,5,"00000","77800000"
"depreciation_revenues",,,78,78,78,,,,,,6,"000000","78000000"
"incorporeal_asset_depreciation_revenues",,,781,781,781,,,,,,5,"00000","78100000"
"financial_asset_depreciation_revenues",,,786,786,786,,,,,,5,"00000","78600000"
"exceptional_depreciations_inputations_revenues",,,787,787,787,,,,,,5,"00000","78700000"
"transfer_revenues",,,79,79,79,,,,,,6,"000000","79000000"
"exploitation_expenses_transfers",,,791,791,791,,,,,,5,"00000","79100000"
"financial_charge_transfer_revenues",,,796,796,796,,,,,,5,"00000","79600000"
"agricultural_disasters_compensations",,,797,743,743,,,,,,5,"00000","79700000"
"exceptional_charge_transfer_revenues",,,797,797,797,,,,,,5,"00000","79700000"
