procedure name in FILE,procedure name in NOMENCLATURE
hoeing,hoeing
organic_fertilizing,fertilizing
mineral_fertilizing,fertilizing
plowing,plowing
raking,raking
silage,direct_silage
grains_harvest,harvesting
spraying_on_cultivation,spraying
land_parcel_grinding,crop_residues_grinding
