COPAIP;NUNATI;NUTRAV;NOBOVI;DANAIS;TYRASU;SEXBOV;CAUSEN;DATEEN;CAUSSO;DATESO
FR;1735138930;8930;INTOX;29/07/2013;39;F;N;29/07/2013;E;21/08/2013
FR;1700028931;8931;;02/09/2013;56;M;N;02/09/2013;M;02/09/2013
FR;1735138931;8931;ISABEZLLE;06/08/2013;56;F;N;06/08/2013;;
FR;1700028932;8932;;02/09/2013;56;F;N;02/09/2013;M;02/09/2013
FR;1735138932;8932;IELTSINE;28/08/2013;56;M;N;28/08/2013;;
FR;1735138933;8933;INFANTE;07/09/2013;56;F;N;07/09/2013;;
FR;1735138934;8934;IMPRESARIO;09/09/2013;56;M;N;09/09/2013;;
FR;1735138935;8935;INSALUBRE;17/09/2013;56;M;N;17/09/2013;;
FR;1735138936;8936;ISTRIE;26/09/2013;56;F;N;26/09/2013;;
FR;1735138937;8937;ISRAEL;28/09/2013;56;F;N;28/09/2013;;
FR;1735138938;8938;IZMIR;30/09/2013;56;F;N;30/09/2013;;
FR;1735138939;8939;INCHALLAH;05/10/2013;39;F;N;05/10/2013;B;04/11/2013
FR;1735138940;8940;IDOINE;10/10/2013;56;F;N;10/10/2013;;
FR;1735138941;8941;IAGO;13/10/2013;39;M;N;13/10/2013;;
FR;1735138942;8942;INVASION;14/10/2013;56;F;N;14/10/2013;;
FR;1735138943;8943;ITALIEN;14/10/2013;56;M;N;14/10/2013;;
FR;1735138944;8944;IBIS;23/10/2013;56;M;N;23/10/2013;;
FR;1735138945;8945;IDAHO;27/10/2013;56;M;N;27/10/2013;;
FR;1735138946;8946;IMAN;30/10/2013;39;M;N;30/10/2013;;
FR;1735138947;8947;ISLAM;04/11/2013;56;M;N;04/11/2013;;
FR;1735138948;8948;IGUANE;14/11/2013;56;F;N;14/11/2013;;
FR;1735138949;8949;ILIADE;14/11/2013;56;F;N;14/11/2013;;
FR;1735138950;8950;IBIZA;16/11/2013;56;F;N;16/11/2013;;
FR;1735138951;8951;INSURGEE;19/11/2013;56;F;N;19/11/2013;;
FR;1735138952;8952;ILL;20/11/2013;39;M;N;20/11/2013;;
FR;1735138953;8953;IMPETUEUX;20/11/2013;56;M;N;20/11/2013;;
FR;1735138954;8954;IBERE;23/11/2013;56;M;N;23/11/2013;;
FR;1735138955;8955;ISERAN;29/11/2013;56;M;N;29/11/2013;;
FR;1735138956;8956;IVOIRE;29/11/2013;56;F;N;29/11/2013;;
FR;1735138957;8957;IRONDELLE;03/12/2013;56;F;N;03/12/2013;;
FR;1735138958;8958;INDY;05/12/2013;56;M;N;05/12/2013;;
FR;1735138959;8959;IRIS;05/12/2013;56;F;N;05/12/2013;;
FR;1735138960;8960;ICARE;17/12/2013;56;M;N;17/12/2013;;
FR;1735138961;8961;INDONESIE;20/12/2013;56;F;N;20/12/2013;;
FR;1735138962;8962;IMBROGLIO;20/12/2013;56;M;N;20/12/2013;;
FR;1735138963;8963;IRAN;22/12/2013;56;M;N;22/12/2013;;
FR;1735138964;8964;INDIANA;23/12/2013;56;M;N;23/12/2013;;
FR;1735138965;8965;JONAS;01/01/2014;39;M;N;01/01/2014;;
FR;1735138966;8966;JURANCON;01/01/2014;39;M;N;01/01/2014;;
FR;1735138967;8967;JASMIN;03/01/2014;56;M;N;03/01/2014;;
FR;1735138968;8968;JOULE;18/01/2014;39;M;N;18/01/2014;;
FR;1735138969;8969;JOINVILLE;19/01/2014;56;F;N;19/01/2014;;
FR;1735138970;8970;JACASSE;05/02/2014;56;F;N;05/02/2014;;
FR;1735138971;8971;JOSUA;10/02/2014;56;M;N;10/02/2014;;
FR;1700028995;8995;;13/09/2013;56;F;N;13/09/2013;M;13/09/2013
FR;1700029286;9286;;20/10/2013;56;M;N;20/10/2013;M;20/10/2013
FR;1700029547;9547;;24/11/2013;56;M;N;24/11/2013;M;24/11/2013
FR;1700029894;9894;;13/01/2014;56;M;N;13/01/2014;M;13/01/2014
