8927	ISIGNY	56	F	06/05/2013	N	06/05/2013	1735138643	DEAUVILLE	3517878214	ALMA	 	 	
8926	ISERE	39	F	14/04/2013	N	14/04/2013	1735138652	DROME	0311122436	TRIO	E	13/05/2013	
8328	 	39	F	03/04/2013	N	03/04/2013	1735138657	DJELLABA	 	 	M	03/04/2013	
8925	IVAN	56	M	25/03/2013	N	25/03/2013	1735138687	EVA	5645961671	VITRIOL	 	 	
8924	IMPERIALE	56	F	16/03/2013	N	16/03/2013	1735138648	DUCHESSE	4466303415	ELIEU	 	 	
8923	INCONNUE	39	F	12/03/2013	N	12/03/2013	1735138656	DORA	0312958066	CUSSET	E	08/04/2013	
8921	INNOCENT	56	M	05/03/2013	N	05/03/2013	1735138637	DOUCEUR	5346018137	EVAUCAIE	 	 	
8922	IMPACT	39	M	05/03/2013	N	05/03/2013	1735138587	CLAQUETTE	0311122436	TRIO	 	 	
8920	IGOR	56	M	23/02/2013	N	23/02/2013	1735138629	DOROTHEE	5369312165	EDESMA	 	 	
8919	IMPRIME	56	M	14/02/2013	N	14/02/2013	1735138783	GUIPURE	2232212348	AUCKLAND	 	 	
8917	IRENE	56	F	07/02/2013	N	07/02/2013	1735138701	ELIANE	2951401444	UVRAY	 	 	
8918	IMPANADAS	56	M	07/02/2013	N	07/02/2013	1735138599	CONCHITA	5006568986	ARNICA	 	 	
8915	ISSOUDIN	39	M	04/02/2013	N	04/02/2013	1735138492	BRIVE	0311122436	TRIO	 	 	
8916	ISSOIRE	39	F	04/02/2013	N	04/02/2013	1735138492	BRIVE	0311122436	TRIO	E	04/03/2013	
8912	IPOMEE	56	F	27/01/2013	N	27/01/2013	1735138606	DEBBIE	3532519901	ERACLES	E	04/03/2013	
8913	IGNACE	56	M	27/01/2013	N	27/01/2013	1735138606	DEBBIE	3532519901	ERACLES	 	 	
8914	INSIPIDE	56	F	27/01/2013	N	27/01/2013	1735138781	GUIMAUVE	5345851286	ULOZON	 	 	
8911	IGLOO	39	M	25/01/2013	N	25/01/2013	1735138776	FRILEUSE	0311122436	TRIO	 	 	
8909	ISTANBUL	56	M	22/01/2013	N	22/01/2013	1735138780	GEORGIE	5006568986	ARNICA	 	 	
8910	INGRANDES	56	F	22/01/2013	N	22/01/2013	1735138368	VIBRAYE	4966665855	ATOME	 	 	
8908	IRRIGUEE	56	F	19/01/2013	N	19/01/2013	1735138778	FLUVIALE	5357431095	FERVENT	 	 	
8907	INSOUMISE	56	F	18/01/2013	N	18/01/2013	1735138777	FIERTE	5345851286	ULOZON	 	 	
8906	IZZARA	39	F	13/01/2013	N	13/01/2013	1735138582	CHALOSSE	0311122436	TRIO	E	04/02/2013	
8905	INSULAIRE	56	M	10/01/2013	N	10/01/2013	1735138763	FIDJI	5628802052	FERZAN	 	 	
8904	ITALIE	56	F	05/01/2013	N	05/01/2013	1735138768	FOGGIA	3527015976	ESPERANZO	 	 	
8903	ILLUMINE	56	M	04/01/2013	N	04/01/2013	1735138692	ELECTRA	3517878214	ALMA	 	 	
7776	 	56	M	21/12/2012	N	21/12/2012	1735138766	FLECHE	5006380321	ARANTILLY	M	21/12/2012	
8902	HERMINE	56	F	13/12/2012	N	13/12/2012	1735138759	FIFI	2232212348	AUCKLAND	 	 	
8901	HERON	56	M	10/12/2012	N	10/12/2012	1735138762	FREGATE	5006568986	ARNICA	 	 	
8900	HARPIE	56	F	08/12/2012	N	08/12/2012	1735138748	FRIVOLE	2246161461	AEL MAT	 	 	
8898	HUMOUR	56	M	07/12/2012	N	07/12/2012	1735138676	EVE	5645961671	VITRIOL	 	 	
8899	HUMEUR	56	F	07/12/2012	N	07/12/2012	1735138676	EVE	5645961671	VITRIOL	E	31/12/2012	
8897	HANNETON	56	M	02/12/2012	N	02/12/2012	1735138749	FOURMI	5356431136	ECLUSIER	 	 	
8896	HONECK	39	M	25/11/2012	N	25/11/2012	1735138466	ALSACE	0311122436	TRIO	E	17/12/2012	
8895	HALLEWIAM	39	F	13/11/2012	N	13/11/2012	1735138555	CATHEDRALE	0311122436	TRIO	E	03/12/2012	
7529	 	56	M	06/11/2012	N	06/11/2012	1735138771	FAUVETTE	 	 	M	06/11/2012	
8894	HOGGAR	56	M	06/11/2012	N	06/11/2012	1735138674	ENIMIE	2933862134	ENOR	 	 	
8893	HASORUBAL	56	M	03/11/2012	N	03/11/2012	1735138561	CORDOUE	3517878214	ALMA	 	 	
8892	HUPPE	56	F	15/10/2012	N	15/10/2012	1735138682	ESTIVE	3517878214	ALMA	 	 	
8890	HAMBOURG	56	M	12/10/2012	N	12/10/2012	1735138728	FIUME	6042307586	VIDOCQ	 	 	
8891	HAWAI	56	F	12/10/2012	N	12/10/2012	1735138737	FROUNZE	5006498801	AUBRAY	 	 	
8888	HUMILITE	56	F	11/10/2012	N	11/10/2012	1735138645	DIGNITE	4966665855	ATOME	 	 	
8889	HOUSTON	56	M	11/10/2012	N	11/10/2012	1735138621	DALLAS	2951401444	UVRAY	 	 	
8886	HARDIE	56	F	03/10/2012	N	03/10/2012	1735138666	EPOPEE	5005997324	UPERISE	M	10/10/2012	
8887	HUILEUSE	56	F	03/10/2012	N	03/10/2012	1735138689	ESSENCE	6042307586	VIDOCQ	 	 	
8884	HAREM	56	M	02/10/2012	N	02/10/2012	1735138741	FATMA	5356431136	ECLUSIER	 	 	
8885	HANOURE	56	F	02/10/2012	N	02/10/2012	1735138709	ESTONIE	6042307586	VIDOCQ	 	 	
8883	HERBERT	56	M	28/09/2012	N	28/09/2012	1735138745	FABIOLA	2244452508	CHOUCHEN	 	 	
8882	HELVETIE	56	F	26/09/2012	N	26/09/2012	1735138664	EUROPE	3517878214	ALMA	 	 	
8881	HOUBLON	56	M	24/09/2012	N	24/09/2012	1735138580	CAULERPA	3546002127	ELITESTAR	 	 	
8880	HECATOMBE	56	F	23/09/2012	N	23/09/2012	1735138630	DEBACLE	6114595144	ROYAL HOLL	 	 	
8879	HERMES	56	M	16/09/2012	N	16/09/2012	1735138508	BULGARIE	5006568986	ARNICA	 	 	
8878	HORTENSE	56	F	08/09/2012	N	08/09/2012	1735138670	EMILIE	5007504240	CANONNIER	 	 	
8877	HUESCA	39	F	30/08/2012	N	30/08/2012	1735138690	ESTANCIA	0311122436	TRIO	E	17/09/2012	
8876	HOMERE	56	M	23/08/2012	N	23/08/2012	1735138669	EPHESE	5006498801	AUBRAY	 	 	
8875	HISTOIRE	56	F	20/08/2012	N	20/08/2012	1735138662	DOUMA	4466303415	ELIEU	 	 	
8874	HAVANE	56	F	08/08/2012	N	08/08/2012	1735138534	BRASILIA	2951401444	UVRAY	 	 	
8873	HEXOSE	56	M	05/08/2012	N	05/08/2012	1735138536	CYSTEINE	3517878214	ALMA	 	 	
8872	HERAULT	56	M	01/05/2012	N	01/05/2012	1735138660	DOGNE	5345851286	ULOZON	B	13/01/2014	
8871	HUBERT	56	M	14/04/2012	N	14/04/2012	1735138572	CORALIE	5005997324	UPERISE	B	06/11/2013	
6352	 	39	M	13/04/2012	N	13/04/2012	1735138587	CLAQUETTE	0311122436	TRIO	M	13/04/2012	
8868	HONGROISE	56	F	11/04/2012	N	11/04/2012	1735138358	VOLGA	5351389639	VIVRELEC	E	15/05/2012	
8869	HONGROIS	56	M	11/04/2012	N	11/04/2012	1735138358	VOLGA	5351389639	VIVRELEC	B	06/11/2013	
8870	HEXOSE	56	M	11/04/2012	N	11/04/2012	1735138641	DEXTROSE	1733538223	ERBIUM	B	06/11/2013	
8867	HOBEREAU	39	M	10/04/2012	N	10/04/2012	1735138648	DUCHESSE	4241233034	BOOSTER	B	13/01/2014	
8866	HAMMAM	56	M	05/04/2012	N	05/04/2012	1735138657	DJELLABA	7616732530	ECAMP	B	13/01/2014	
8865	HERETIQUE	56	M	24/03/2012	N	24/03/2012	1735138505	BEGUINE	3536412802	VOMICOL	B	04/11/2013	
8863	HERCULE	56	M	06/03/2012	N	06/03/2012	1735138652	DROME	2236572408	DARMOR	B	04/11/2013	
8864	HERAKLES	56	M	06/03/2012	N	06/03/2012	1735138652	DROME	2236572408	DARMOR	B	04/11/2013	
8862	HERMIONE	56	F	05/03/2012	N	05/03/2012	1735138656	DORA	2831573908	VIRBAC	E	09/09/2013	
8861	HAGUE	56	F	04/03/2012	N	04/03/2012	1735138643	DEAUVILLE	2247241820	SAINTYORRE	E	09/09/2013	
8860	HELLEBORE	56	F	27/02/2012	N	27/02/2012	1735138714	EGLANTINE	5006422758	VIRBAK	 	 	
8859	HEROS	56	M	24/02/2012	N	24/02/2012	1735138604	DIVINE	5361994669	UNNOEL	B	06/11/2013	
8858	HEVEA	56	M	09/02/2012	N	09/02/2012	1735138628	DABA	5008180082	EZERT	B	21/08/2013	
5969	 	56	F	07/02/2012	N	07/02/2012	1735138712	EFFLUVE	2831573908	VIRBAC	M	07/02/2012	
8856	HIDALGO	56	M	06/02/2012	N	06/02/2012	1735138599	CONCHITA	5008153554	ENARQUE	B	04/11/2013	
8857	HACIENDA	56	F	06/02/2012	N	06/02/2012	1735138599	CONCHITA	5008153554	ENARQUE	E	05/03/2012	
8855	HERITIERE	56	F	30/01/2012	N	30/01/2012	1735138723	ETRENNE	3536412802	VOMICOL	E	09/09/2013	
8854	HONORE	56	M	26/01/2012	N	26/01/2012	1735138629	DOROTHEE	5008180082	EZERT	B	21/08/2013	
8852	HENRI	56	M	08/01/2012	N	08/01/2012	1735138687	EVA	5352825978	UTC	B	21/08/2013	
8853	HAVRE	56	M	08/01/2012	N	08/01/2012	1735138637	DOUCEUR	6110777167	TELERAMA	B	21/08/2013	
8851	HUBLOT	56	M	07/01/2012	N	07/01/2012	1735138620	DENTELLE	7262921283	EBRAYE	M	04/04/2013	
