Année	Mois	Prlt	Germes	Inhib	M.G.	M.P.	Cellules	Butyriques	Cryo	Lipolyse	IGG	Urée	Salmon	Listéria	Staph	Coliformes	Pseudom	E-coli
2001	6	2	5	NEG	3860	3400	173		0,525			311						
2001	6	3	9	NEG	3730	3260	182		0,526			311						
2001	5	1	7	NEG	4430	3290	123	1300	0,527			335						
2001	5	2	8	NEG	4000	3320	154		0,526			277						
2001	5	3	10	NEG	4000	3320	195		0,528			190						
2001	4	1	5	NEG	4480	3470	174		0,531			415						
2001	4	2	11	NEG	4350	3460	120	450	0,527			288						
2001	4	3	5	NEG	4240	3370	118		0,528			260						
2001	3	1	14	NEG	4760	3730	197	2800	0,53	0,35		362						
2001	3	2	25	NEG	4770	3740	179	3500	0,528			351						
2001	3	3	16	NEG	4840	3740	312		0,531			382						
2001	2	1	14	NEG	4670	3680	290	5400	0,525			309						
2001	2	2	9	NEG	4510	3710	217	5400	0,522			352						
2001	2	3	6	NEG	4820	3760	250		0,53			350						
2001	1	1	9	NEG	4840	3780	357	1400	0,521			300						
2001	1	2	12	NEG	4790	3850	394	1300	0,517			320						
2001	1	3	6	NEG	4740	3680	216		0,528			369						
2000	12	1	10	NEG	4960	3840	272	5400	0,518	0,35		300						
2000	12	2	15	NEG	4860	3760	294	5400	0,52			320						
2000	12	3	12	NEG	4780	3760	520		0,52			320						
2000	11	1	5	NEG	4830	3890	254	16000	0,517			300						
2000	11	2	5	NEG	4860	3860	247	2400	0,514			320						
2000	11	3	5	NEG	4810	3890	217		0,517			310						
2000	10	1	7	NEG	4640	3710	255	1300	0,515			270						
2000	10	2	5	NEG	4580	3720	261	790	0,517			290						
2000	10	3	8	NEG	4780	3760	184		0,515			280						
2000	9	1	5	NEG	4120	3440	251	450	0,521	0,35		310						
2000	9	2	10	NEG	4190	3530	184		0,525			290						
2000	9	3	6	NEG	4350	3590	303		0,521			330						
2000	8	1	11	NEG	4150	3460	168	450	0,526			280						
2000	8	2	10	NEG	4200	3550	234		0,525			270						
2000	8	3	12	NEG	4230	3520	311		0,526			290						
